640 480
533 97 31
532 95 42
532 94 36
532 92 36
530 90 38
530 89 34
529 87 43
528 86 38
528 85 38
527 84 30
526 83 29
526 81 30
525 80 24
524 79 28
523 77 31
522 76 27
522 74 29
522 73 31
521 73 30
520 71 29
520 70 22
520 68 28
520 67 28
519 65 41
519 64 43
518 63 41
518 62 41
518 60 42
518 59 41
518 58 41
518 57 47
518 56 53
518 55 51
519 54 57
519 53 54
519 52 50
520 51 48
520 50 62
520 48 66
520 47 66
520 45 63
520 44 64
520 43 59
520 42 44
519 43 59
70 230 45
71 231 38
71 232 58
72 232 66
72 233 99
73 234 116
74 235 115
74 236 115
75 236 116
75 237 117
76 237 118
77 239 120
79 240 117
80 241 118
81 242 118
84 243 107
87 244 111
90 245 113
93 246 93
95 248 93
98 249 87
102 250 85
105 251 100
108 252 95
111 253 73
114 254 85
116 255 66
120 256 78
123 257 60
125 258 54
128 260 95
130 260 98
134 262 65
136 263 59
139 263 56
142 264 54
145 265 56
147 266 50
150 267 50
153 269 56
155 270 58
156 270 59
158 270 64
159 271 57
160 271 57
161 271 57
163 272 61
163 273 58
165 273 63
166 273 65
169 274 67
170 274 74
173 275 99
176 275 102
180 276 95
183 276 78
187 277 75
190 277 69
193 278 65
194 279 66
196 279 56
198 280 56
199 280 55
200 281 57
202 281 64
203 281 63
205 281 54
207 282 60
210 282 43
212 282 39
216 283 30
220 284 36
222 284 39
225 284 38
227 284 38
229 285 39
230 285 40
233 286 44
234 286 45
235 287 49
237 287 50
238 287 49
240 288 47
241 289 38
244 289 47
247 291 48
251 292 61
253 293 62
256 293 76
258 294 82
260 294 76
261 294 68
262 294 62
264 294 57
266 294 58
268 294 57
271 294 52
272 293 52
275 293 52
277 293 52
278 293 53
280 292 51
283 292 49
284 292 52
288 291 77
291 291 74
293 291 67
296 291 60
297 290 60
301 290 65
303 290 65
306 289 61
309 288 58
312 288 59
314 288 56
317 287 59
318 287 58
320 287 54
322 287 54
324 286 60
326 286 62
328 285 59
329 285 59
332 285 61
334 285 61
337 285 65
338 284 54
340 284 58
345 283 55
347 282 55
351 282 55
355 282 49
360 281 55
365 280 49
369 279 50
373 278 51
376 277 54
382 276 49
386 275 53
388 275 53
390 275 55
391 275 55
392 274 59
393 274 60
394 274 61
395 273 58
397 272 53
400 272 59
402 272 55
403 272 54
404 271 56
406 271 61
406 270 58
407 270 58
408 270 65
409 269 61
410 269 65
412 268 63
413 268 70
414 268 78
416 267 72
419 266 91
422 266 113
425 265 121
428 264 85
430 263 79
434 262 56
437 261 54
443 259 57
446 258 75
451 256 102
454 255 113
457 254 121
459 253 108
462 252 121
463 251 126
464 251 132
464 250 123
465 250 130
466 249 132
467 248 131
469 247 124
470 246 130
472 245 126
474 244 92
476 242 87
478 241 93
480 241 92
481 240 129
482 239 128
482 238 125
483 238 125
483 237 124
483 236 129
484 235 127
484 233 108
485 233 113
486 231 105
487 230 109
487 228 103
487 227 93
488 225 36
488 223 57
490 220 60
490 218 92
491 216 105
492 214 97
492 212 50
493 210 87
494 209 98
495 206 102
495 204 54
495 202 46
495 200 83
496 199 91
496 197 53
497 193 52
497 191 66
497 187 48
499 185 36
499 184 43
500 181 46
501 180 33
502 179 41
503 177 32
504 177 49
505 175 32
505 174 31
505 173 32
505 172 36
506 171 41
507 169 36
507 166 38
509 164 40
510 163 75
511 162 92
511 161 82
512 161 108
513 160 112
513 159 107
513 158 106
514 157 110
515 155 70
516 153 47
517 153 68
517 152 53
517 151 71
517 150 95
518 149 97
518 148 106
518 147 112
518 146 117
518 144 116
520 142 116
521 140 116
521 138 116
523 137 117
523 136 113
523 134 115
524 133 112
524 132 114
525 131 113
525 129 93
526 128 77
527 126 94
527 125 109
528 123 103
528 121 119
529 119 116
530 118 114
530 117 112
530 114 77
530 113 71
530 111 76
530 109 50
530 107 41
530 104 37
530 101 37
530 99 37
